CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,LATITUDE,LONGITUDE,INSTNM,State
1,1,4750.0,0.0554,6000.0,0.0129,0.0118,0.0018,0.0029,0.0,0.0,0.0,0.0,0.5803,32.6893,-114.496,Arizona Western College,Arizona
1,1,13500.0,0.3962,19000.0,0.0123,0.0097,0.052,0.0126,2.0,2.0,2.0,2.0,0.3265,32.2321,-110.9508,University of Arizona,Arizona
1,3,20000.0,0.6777,50437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5308,32.2524,-110.9273,Southwest University of Visual Arts-Tucson,Arizona
0,3,7613.0,0.633,11789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5724,33.624,-111.9255,Brillare Hairdressing Academy,Arizona
1,1,5584.0,0.1783,10500.0,0.0619,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.4644,32.9571,-111.6525,Central Arizona College,Arizona
1,3,12136.5,0.7398,21599.0,0.0717,0.13,0.0,0.0,1.0,1.0,0.0,0.0,0.8355,32.2367,-110.8951,Brown Mackie College-Tucson,Arizona
1,3,6514.0,0.5828,7389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291,34.4753,-114.3281,Charles of Italy Beauty College,Arizona
1,1,4500.0,0.0706,8468.0,0.0462,0.0211,0.002,0.0025,0.0,0.0,0.0,0.0,0.308,31.3658,-109.6904,Cochise College,Arizona
1,3,6392.5,0.6947,8167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7474,35.1972,-111.6259,Empire Beauty School-Flagstaff,Arizona
1,3,6392.5,0.6753,8167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113,33.3476,-111.8604,Empire Beauty School-Chandler,Arizona
1,3,6333.0,0.8816,7875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7105,32.219,-110.8568,Cortiva Institute-Tucson,Arizona
1,3,10423.5,0.7927,12907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927,33.3766,-111.8583,Avalon School of Cosmetology-Mesa,Arizona
1,1,9833.0,0.0,14144.0,0.0096,0.0089,0.0037,0.0037,0.0,0.0,0.0,0.0,0.1975,32.8407,-109.7617,Eastern Arizona College,Arizona
1,2,16500.0,0.5596,26000.0,0.0,0.0,0.3665,0.0,1.0,0.0,1.0,0.0,0.2884,34.6157,-112.4523,Embry-Riddle Aeronautical University-Prescott,Arizona
1,2,9833.0,0.3333,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,33.6072,-111.8465,Frank Lloyd Wright School of Architecture,Arizona
1,1,4474.0,0.1951,14144.0,0.0163,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.3814,33.5675,-112.1883,Glendale Community College,Arizona
1,1,4474.0,0.1951,14144.0,0.0163,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.3814,33.5675,-112.1883,Glendale Community College,California
1,3,11644.0,0.6248,18750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262,33.5122,-112.1299,Grand Canyon University,Arizona
0,3,9934.0,0.8631,14024.0,0.0058,0.0073,0.0,0.0,2.0,2.0,0.0,0.0,0.7791,33.4943,-112.0502,Anthem College-Phoenix,Arizona
0,3,8666.5,0.7656,11833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182,33.393,-111.8627,International Academy of Hair Design,Arizona
0,3,9500.0,0.5452,12594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151,33.6082,-112.1189,Kaplan College-Phoenix,Arizona
